[2025-05-19 21:34:09] [INFO    ] discord.client: logging in using static token
[2025-05-19 21:34:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'emojis': [], 'premium_tier': 0, 'home_header': None, 'profile': None, 'explicit_content_filter': 0, 'banner': None, 'afk_channel_id': None, 'verification_level': 0, 'public_updates_channel_id': None, 'max_members': 500000, 'embedded_activities': [], 'splash': None, 'stickers': [], 'id': '1072557845494644866', 'joined_at': '2025-05-19T08:58:28.182664+00:00', 'large': False, 'name': 'GIGACHAD', 'members': [{'user': {'username': 'Jack Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1373946304861966347', 'global_name': None, 'display_name': None, 'discriminator': '8208', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'a8e885223f24d5ba156d55257a5630f5'}, 'roles': ['1373947908541513811'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-19T08:58:28.182664+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'soundboard_sounds': [{'volume': 1.0, 'user_id': '669138482396004362', 'sound_id': '1131101080231624724', 'name': 'GIGACHAD', 'guild_id': '1072557845494644866', 'emoji_name': '😎', 'emoji_id': None, 'available': True}, {'volume': 0.6662921905517578, 'user_id': '669138482396004362', 'sound_id': '1166371419165298748', 'name': 'RIZZ', 'guild_id': '1072557845494644866', 'emoji_name': '😎', 'emoji_id': None, 'available': True}, {'volume': 0.5201185941696167, 'user_id': '517631492973920257', 'sound_id': '1166371581241594007', 'name': 'rizzler', 'guild_id': '1072557845494644866', 'emoji_name': None, 'emoji_id': None, 'available': True}, {'volume': 1.0, 'user_id': '669138482396004362', 'sound_id': '1168139990274953267', 'name': 'Dont Hurt Me', 'guild_id': '1072557845494644866', 'emoji_name': '👍', 'emoji_id': None, 'available': True}, {'volume': 0.8284229636192322, 'user_id': '669138482396004362', 'sound_id': '1257629954259288155', 'name': 'BYE BYE !', 'guild_id': '1072557845494644866', 'emoji_name': '😏', 'emoji_id': None, 'available': True}, {'volume': 0.8165156841278076, 'user_id': '517631492973920257', 'sound_id': '1293225642745135195', 'name': 'CROOOOWWNNN', 'guild_id': '1072557845494644866', 'emoji_name': '👑', 'emoji_id': None, 'available': True}, {'volume': 0.8111935257911682, 'user_id': '517631492973920257', 'sound_id': '1293225889739313185', 'name': 'BLINNGGNNGNG', 'guild_id': '1072557845494644866', 'emoji_name': '💎', 'emoji_id': None, 'available': True}, {'volume': 0.8569273948669434, 'user_id': '669138482396004362', 'sound_id': '1304822122010640447', 'name': 'DING DONG', 'guild_id': '1072557845494644866', 'emoji_name': '👳', 'emoji_id': None, 'available': True}], 'incidents_data': None, 'preferred_locale': 'en-US', 'nsfw_level': 0, 'latest_onboarding_question_id': None, 'inventory_settings': None, 'unavailable': False, 'roles': [{'version': 1675788117585, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1072557845494644866', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1747646684276, 'unicode_emoji': None, 'tags': {'bot_id': '1307371626815422474'}, 'position': 4, 'permissions': '3145728', 'name': 'Kenku FM', 'mentionable': False, 'managed': True, 'id': '1307372050121494561', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1747646684274, 'unicode_emoji': None, 'tags': {'bot_id': '971868710237274174'}, 'position': 3, 'permissions': '3409920', 'name': 'GEEK Music', 'mentionable': False, 'managed': True, 'id': '1307375264917098506', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1747648024815, 'unicode_emoji': None, 'tags': {'bot_id': '1373946304861966347'}, 'position': 2, 'permissions': '1738317548224320', 'name': 'Jack Bot', 'mentionable': False, 'managed': True, 'id': '1373947908541513811', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1747646705543, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '2108859006582783', 'name': 'LightSkin', 'mentionable': False, 'managed': False, 'id': '1373954060998279260', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 11342935}, 'color': 11342935}], 'lazy': True, 'threads': [], 'owner_id': '669138482396004362', 'application_command_counts': {}, 'description': '', 'voice_states': [], 'member_count': 5, 'presences': [], 'afk_timeout': 300, 'stage_instances': [], 'hub_type': None, 'max_video_channel_users': 25, 'safety_alerts_channel_id': None, 'system_channel_flags': 0, 'icon': '003057c63e5a4dc30bf2d1161ca96cae', 'nsfw': False, 'default_message_notifications': 0, 'discovery_splash': None, 'guild_scheduled_events': [], 'system_channel_id': '1072557845494644868', 'activity_instances': [], 'moderator_reporting': None, 'vanity_url_code': None, 'application_id': None, 'mfa_level': 0, 'region': 'deprecated', 'premium_progress_bar_enabled': False, 'version': 1747653740957, 'max_stage_video_channel_users': 50, 'premium_features': None, 'channels': [{'version': 1675788117593, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1072557845494644867', 'flags': 0}, {'version': 1675788117605, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1072557845494644867', 'name': 'general', 'last_message_id': '1374010459736379393', 'id': '1072557845494644868', 'flags': 0}, {'version': 1675788117613, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1072557845494644867', 'name': 'clips-and-highlights', 'last_message_id': '1298598853494439966', 'id': '1072557845494644869', 'flags': 0}, {'version': 1675788117621, 'type': 4, 'position': 3, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1072557845494644870', 'flags': 0}, {'version': 1729604204828, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1072557845494644870', 'name': 'Lobby', 'last_message_id': '1072569510172831814', 'id': '1072557845494644871', 'flags': 0, 'bitrate': 64000}, {'version': 1729604204836, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1072557845494644870', 'name': 'Gaming', 'last_message_id': None, 'id': '1072557845972799528', 'flags': 0, 'bitrate': 64000}], 'features': ['SOUNDBOARD'], 'rules_channel_id': None, 'premium_subscription_count': 0}}
[2025-05-19 21:34:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-19 21:34:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'bde8add755a95e1b5859b9b0f62f6db1', 'members': [{'user': {'username': 'ultraqalif', 'public_flags': 256, 'primary_guild': None, 'id': '517631492973920257', 'global_name': 'UltraQalif', 'display_name': 'UltraQalif', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'e27147776aa09bcb4d63425f2a1c7560'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-02-07T16:42:45.522000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'rargoz', 'public_flags': 0, 'primary_guild': None, 'id': '669138482396004362', 'global_name': 'rargoz', 'display_name': 'rargoz', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '07ec2755391bb18bf3658bae58dedb75'}, 'roles': ['1373954060998279260'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-02-07T16:41:57.547000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'GEEK Music', 'public_flags': 65536, 'primary_guild': None, 'id': '971868710237274174', 'global_name': None, 'display_name': None, 'discriminator': '1291', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '818a35d191d40f783c3be1f4cfd42a34'}, 'roles': ['1307375264917098506'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-11-16T16:02:33.035000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Borgaz FM', 'public_flags': 0, 'primary_guild': None, 'id': '1307371626815422474', 'global_name': None, 'display_name': None, 'discriminator': '4863', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '00041fa40deff82919063e1824d0b619'}, 'roles': ['1307372050121494561'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-11-16T15:49:46.691000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Jack Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1373946304861966347', 'global_name': None, 'display_name': None, 'discriminator': '8208', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'a8e885223f24d5ba156d55257a5630f5'}, 'roles': ['1373947908541513811'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-19T08:58:28.182664+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1072557845494644866', 'chunk_index': 0, 'chunk_count': 1}}
[2025-05-19 21:34:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-19 21:34:11] [DEBUG   ] discord.state: Processed a chunk for 5 members in guild ID 1072557845494644866.
[2025-05-19 21:34:13] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-05-19 21:34:13] [DEBUG   ] discord.client: Dispatching event ready
[2025-05-19 21:34:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_STATE_UPDATE', 's': 4, 'op': 0, 'd': {'member': {'user': {'username': 'rargoz', 'public_flags': 0, 'primary_guild': None, 'id': '669138482396004362', 'global_name': 'rargoz', 'display_name': 'rargoz', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '07ec2755391bb18bf3658bae58dedb75'}, 'roles': ['1373954060998279260'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-02-07T16:41:57.547000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'user_id': '669138482396004362', 'suppress': False, 'session_id': '5f6c0d78423ec8cf6a5aded96d430919', 'self_video': False, 'self_mute': False, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'guild_id': '1072557845494644866', 'discoverable': True, 'deaf': False, 'channel_id': '1072557845972799528'}}
[2025-05-19 21:34:19] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-19 21:34:19] [DEBUG   ] discord.client: Dispatching event voice_state_update
[2025-05-19 21:34:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 5, 'op': 0, 'd': {'user_id': '669138482396004362', 'timestamp': 1747661663, 'member': {'user': {'username': 'rargoz', 'public_flags': 0, 'primary_guild': None, 'id': '669138482396004362', 'global_name': 'rargoz', 'display_name': 'rargoz', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '07ec2755391bb18bf3658bae58dedb75'}, 'roles': ['1373954060998279260'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-02-07T16:41:57.547000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1072557845494644868', 'guild_id': '1072557845494644866'}}
[2025-05-19 21:34:23] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-19 21:34:23] [DEBUG   ] discord.client: Dispatching event typing
[2025-05-19 21:34:23] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-05-19 21:34:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-05-19T13:34:25.972000+00:00', 'pinned': False, 'nonce': '1374017352655437824', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1373954060998279260'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-02-07T16:41:57.547000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1374017357231685747', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!play in the night', 'components': [], 'channel_type': 0, 'channel_id': '1072557845494644868', 'author': {'username': 'rargoz', 'public_flags': 0, 'primary_guild': None, 'id': '669138482396004362', 'global_name': 'rargoz', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '07ec2755391bb18bf3658bae58dedb75'}, 'attachments': [], 'guild_id': '1072557845494644866'}}
[2025-05-19 21:34:25] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-19 21:34:25] [DEBUG   ] discord.client: Dispatching event message
[2025-05-19 21:34:25] [DEBUG   ] discord.client: Dispatching event command
[2025-05-19 21:34:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-05-19T13:34:32.827000+00:00', 'pinned': False, 'nonce': '14614859854074766801', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1373947908541513811'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-19T08:58:28.182664+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1374017385983381534', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '🎶 Added to queue: **In The Night - Fly By Midnight (Official Lyric Video)**', 'components': [], 'channel_type': 0, 'channel_id': '1072557845494644868', 'author': {'username': 'Jack Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1373946304861966347', 'global_name': None, 'discriminator': '8208', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'a8e885223f24d5ba156d55257a5630f5'}, 'attachments': [], 'guild_id': '1072557845494644866'}}
[2025-05-19 21:34:32] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-19 21:34:32] [DEBUG   ] discord.client: Dispatching event message
[2025-05-19 21:34:32] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1072557845494644868/messages with {"content":"\ud83c\udfb6 Added to queue: **In The Night - Fly By Midnight (Official Lyric Video)**","components":[],"nonce":"14614859854074766801","enforce_nonce":true,"tts":false} has returned 200
[2025-05-19 21:34:32] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-05-19 21:34:32] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1072557845494644868/messages has received {'type': 0, 'content': '🎶 Added to queue: **In The Night - Fly By Midnight (Official Lyric Video)**', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-05-19T13:34:32.827000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1374017385983381534', 'channel_id': '1072557845494644868', 'author': {'id': '1373946304861966347', 'username': 'Jack Bot', 'avatar': 'a8e885223f24d5ba156d55257a5630f5', 'discriminator': '8208', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '14614859854074766801'}
[2025-05-19 21:34:32] [INFO    ] discord.voice_state: Connecting to voice...
[2025-05-19 21:34:32] [INFO    ] discord.voice_state: Starting voice handshake... (connection attempt 1)
[2025-05-19 21:34:32] [DEBUG   ] discord.gateway: Updating our voice state to {'op': 4, 'd': {'guild_id': 1072557845494644866, 'channel_id': 1072557845972799528, 'self_mute': False, 'self_deaf': False}}.
[2025-05-19 21:34:32] [DEBUG   ] discord.voice_state: Connection state changed to set_guild_voice_state
[2025-05-19 21:34:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_STATE_UPDATE', 's': 8, 'op': 0, 'd': {'member': {'user': {'username': 'Jack Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1373946304861966347', 'global_name': None, 'display_name': None, 'discriminator': '8208', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'a8e885223f24d5ba156d55257a5630f5'}, 'roles': ['1373947908541513811'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-19T08:58:28.182664+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'user_id': '1373946304861966347', 'suppress': False, 'session_id': '0a7754caa6b91d71b388087977612f8c', 'self_video': False, 'self_mute': False, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'guild_id': '1072557845494644866', 'deaf': False, 'channel_id': '1072557845972799528'}}
[2025-05-19 21:34:32] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-19 21:34:32] [DEBUG   ] discord.client: Dispatching event voice_state_update
[2025-05-19 21:34:32] [DEBUG   ] discord.voice_state: Connection state changed to got_voice_state_update
[2025-05-19 21:34:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_SERVER_UPDATE', 's': 9, 'op': 0, 'd': {'token': 'e6d9ddff91e13878', 'guild_id': '1072557845494644866', 'endpoint': 'hongkong11025.discord.media:443'}}
[2025-05-19 21:34:32] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-19 21:34:32] [DEBUG   ] discord.voice_state: Connection state changed to got_both_voice_updates
[2025-05-19 21:34:32] [INFO    ] discord.voice_state: Voice handshake complete. Endpoint found: hongkong11025.discord.media
[2025-05-19 21:34:33] [DEBUG   ] discord.gateway: Sending voice websocket frame: {'op': 0, 'd': {'server_id': '1072557845494644866', 'user_id': '1373946304861966347', 'session_id': '0a7754caa6b91d71b388087977612f8c', 'token': 'e6d9ddff91e13878'}}.
[2025-05-19 21:34:33] [DEBUG   ] discord.voice_state: Connection state changed to websocket_connected
[2025-05-19 21:34:33] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 8, 'd': {'v': 4, 'heartbeat_interval': 13750.0}}
[2025-05-19 21:34:33] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 2, 'd': {'streams': [{'type': 'video', 'ssrc': 52336, 'rtx_ssrc': 52337, 'rid': '', 'quality': 0, 'active': False}], 'ssrc': 52335, 'port': 50005, 'modes': ['aead_aes256_gcm_rtpsize', 'aead_aes256_gcm', 'aead_xchacha20_poly1305_rtpsize', 'xsalsa20_poly1305_lite_rtpsize', 'xsalsa20_poly1305_lite', 'xsalsa20_poly1305_suffix', 'xsalsa20_poly1305'], 'ip': '35.215.182.186', 'experiments': ['fixed_keyframe_interval']}}
[2025-05-19 21:34:33] [DEBUG   ] discord.gateway: Connecting to voice socket
[2025-05-19 21:34:33] [DEBUG   ] discord.gateway: Sending ip discovery packet
[2025-05-19 21:34:33] [DEBUG   ] discord.voice_state: Registering socket listener callback <function DiscordVoiceWebSocket.discover_ip.<locals>.get_ip_packet at 0x00000218E3CFB1A0>
[2025-05-19 21:34:33] [DEBUG   ] discord.voice_state: Unregistering socket listener callback <function DiscordVoiceWebSocket.discover_ip.<locals>.get_ip_packet at 0x00000218E3CFB1A0>
[2025-05-19 21:34:33] [DEBUG   ] discord.gateway: Received ip discovery packet: b'\x00\x02\x00F\x00\x00\xcco183.171.143.50\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x05\xd8'
[2025-05-19 21:34:33] [DEBUG   ] discord.gateway: detected ip: 183.171.143.50 port: 1496
[2025-05-19 21:34:33] [DEBUG   ] discord.gateway: received supported encryption modes: aead_xchacha20_poly1305_rtpsize, xsalsa20_poly1305_lite, xsalsa20_poly1305_suffix, xsalsa20_poly1305
[2025-05-19 21:34:33] [DEBUG   ] discord.gateway: Sending voice websocket frame: {'op': 1, 'd': {'protocol': 'udp', 'data': {'address': '183.171.143.50', 'port': 1496, 'mode': 'aead_xchacha20_poly1305_rtpsize'}}}.
[2025-05-19 21:34:33] [DEBUG   ] discord.gateway: selected the voice protocol for use (aead_xchacha20_poly1305_rtpsize)
[2025-05-19 21:34:33] [DEBUG   ] discord.voice_state: Connection state changed to got_ip_discovery
[2025-05-19 21:34:33] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 11, 'd': {'user_ids': ['669138482396004362']}}
[2025-05-19 21:34:33] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 18, 'd': {'user_id': '669138482396004362', 'flags': 2}}
